"","specimen_id","age_in_days","sex","pipeline_name","pipeline_stable_id","procedure_name","procedure_stable_id","procedure_group","parameter_name","parameter_stable_id","data_point","discrete_point","time_point"
"793","57409413fdb8addcbc3ffa8aec8e3120",487,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",6161.2,15,"2020-04-14T00:00:00Z"
"794","264d29d5d0c017f10f2f087600eece80",481,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4196.2,15,"2019-12-17T00:00:00Z"
"795","cf02475e83cc1d7e1df41dc6d68e33ab",484,"male","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3960.3,20,"2021-08-02T00:00:00Z"
"796","bc21c613ac1bfe1f0bc26ffba6f7fa5f",491,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",2819.7,15,"2020-07-15T00:00:00Z"
"797","4ea346b172a682d13ce507e72ba9d252",491,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4890.1,15,"2019-10-29T00:00:00Z"
"798","8d13ed161f801818f92a3f7dda15adde",488,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4369.2,5,"2019-10-29T00:00:00Z"
"799","2d0e8718e597ba4810a09bac6880e723",488,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5185.6,15,"2020-04-15T00:00:00Z"
"800","531492b56240fe94e4d644dbb60f7257",371,"male","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",6505.8,5,"2019-05-13T00:00:00Z"
"801","fdba0d389181594819561aa9a08e3910",370,"male","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3413.9,15,"2018-12-17T00:00:00Z"
"802","7fc24c9425bb671ad8edee97888e2c29",371,"male","GMC late adult (53 weeks)","HMGULA_001","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3749.7,5,"2019-05-13T00:00:00Z"
"803","67e58c230a21bb9f9300f4628c78bcdc",492,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",4056.7,5,"2020-07-15T00:00:00Z"
"804","14f7750838c6b93015cb753e04bad08d",488,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",3658.6,15,"2020-04-15T00:00:00Z"
"805","38312a74a710489a4004b759647a9660",487,"female","GMC late adult (70 weeks)","HMGULA_002","Open Field","HMGULA_OFD_001","HMGULA_OFD","Distance travelled","HMGULA_OFD_005_001",5890.1,15,"2021-08-03T00:00:00Z"
